,Name,Baseline_waterstress_total,Baseline_waterstress_Agricultural,Baseline_waterstress_Domestic,Baseline_waterstress_Industrial,Drought_severity_total,Drought_severity_Agricultural,Drought_severity_Domestic,Drought_severity_Industrial,Flood_occurence_total,Flood_occurence_Agricultural,Flood_occurence_Domestic,Flood_occurence_Industrial,Interannual_variability_total,Interannual_variability_Agricultural,Interannual_variability_Domestic,Interannual_variability_Industrial,Seasonal_variability_total,Seasonal_variability_Agricultural,Seasonal_variability_Domestic,Seasonal_variability_Industrial,water_acces_mean
39,India,3.58,3.63,3.08,3.44,1.62,1.64,1.43,1.61,3.85,3.84,3.94,3.79,1.72,1.73,1.56,1.78,4.19,4.2,4.13,4.01,2.659797708
40,South Korea,3.54,3.44,3.52,3.85,0.79,0.76,0.99,0.54,3.47,3.44,3.63,3.28,1.51,1.53,1.47,1.53,3.32,3.3,3.35,3.31,0.711105388
41,Tajikistan,3.53,3.55,3.44,3.22,2.45,2.44,2.49,2.58,3.68,3.66,3.69,3.84,2.11,2.12,2.09,1.99,3.61,3.61,3.6,3.57,4.848323108
42,Mexico,3.52,3.71,2.87,2.86,1.73,1.74,1.75,1.66,2.88,2.81,3.15,3.06,2.45,2.53,2.17,2.25,3.12,3.1,3.19,3.14,1.792669245
43,Australia,3.51,3.5,3.66,3.45,1.07,1.09,0.83,1.11,2.66,2.65,2.74,2.64,3.25,3.21,3.41,3.51,1.99,1.96,2.12,2.2,0.0
44,Dominican Republic,3.49,3.62,3.19,3.11,0.79,0.82,0.74,0.7,3.73,3.8,3.57,3.45,2.48,2.57,2.27,2.15,1.52,1.55,1.43,1.38,3.4773279180000003
45,Iraq,3.48,3.54,3.37,3.05,2.11,2.07,2.28,2.28,2.4,2.35,2.5,2.74,1.59,1.59,1.68,1.56,2.54,2.54,2.51,2.57,4.059476626
46,Algeria,3.44,3.39,3.36,3.73,2.26,2.28,2.05,2.47,2.79,2.89,2.8,2.48,2.31,2.28,2.28,2.47,1.93,1.92,1.99,1.85,3.766357602
47,Tunisia,3.44,3.41,3.56,3.64,1.88,1.89,1.82,1.86,2.62,2.69,2.35,2.13,1.96,1.95,2.0,2.05,1.62,1.65,1.58,1.35,
48,Azerbaijan,3.39,3.23,3.5,3.79,1.63,1.6,1.67,1.7,3.01,3.16,2.81,2.68,1.4,1.35,1.5,1.5,2.0,2.11,1.85,1.76,4.012818482
49,Djibouti,3.39,1.99,3.9,4.83,1.12,1.57,0.96,0.53,2.95,3.16,2.87,2.78,4.32,4.39,4.3,4.18,2.05,2.23,1.98,1.78,3.2263282039999996
50,Italy,3.35,3.21,3.57,3.41,1.23,1.31,1.1,1.19,2.62,2.75,2.58,2.44,1.44,1.39,1.48,1.49,1.5,1.38,1.6,1.59,0.0
51,Portugal,3.34,3.2,3.67,3.48,1.37,1.47,1.1,1.28,2.4,2.45,2.24,2.34,2.31,2.29,2.3,2.37,2.76,2.74,2.81,2.78,0.0
52,Philippines,3.33,3.35,3.31,3.24,0.62,0.65,0.47,0.43,4.02,4.04,3.91,3.99,1.21,1.21,1.24,1.23,2.11,2.15,1.92,1.95,2.5871111509999998
53,Andorra,3.33,3.44,3.29,3.21,1.76,1.77,1.76,1.75,3.26,3.26,3.26,3.25,1.49,1.51,1.49,1.47,1.59,1.59,1.6,1.6,0.0
54,Greece,3.27,3.27,3.27,3.26,1.08,1.11,0.82,0.88,2.36,2.36,2.34,2.29,1.7,1.68,1.85,1.76,2.46,2.44,2.64,2.6,0.0
55,Indonesia,3.26,3.44,2.98,2.64,1.0,1.0,0.99,1.05,3.14,3.16,3.13,3.05,1.12,1.14,1.12,1.03,1.89,1.96,1.77,1.66,3.8503413089999996
56,Chile,3.21,3.0,3.64,3.45,2.11,1.84,2.38,2.56,2.55,2.63,2.62,2.36,2.95,2.76,3.17,3.23,3.46,3.63,3.27,3.19,1.542127073
57,Peru,3.2,3.23,2.75,3.31,3.39,3.53,2.75,3.2,2.82,2.83,2.9,2.74,4.19,4.25,3.88,4.11,2.93,2.91,2.91,3.0,3.585111342
58,Cuba,3.19,3.19,3.18,3.22,0.49,0.52,0.44,0.45,3.01,2.99,3.06,3.04,2.27,2.24,2.35,2.31,2.33,2.35,2.26,2.3,2.1986555169999997
59,Belgium,3.16,3.08,3.25,3.16,1.9,1.88,1.94,1.89,2.77,2.6,2.7,2.78,1.03,1.01,1.02,1.04,1.39,1.26,1.36,1.4,0.0
60,Swaziland,3.11,3.19,2.19,2.14,1.6,1.6,1.6,1.63,3.08,3.07,3.29,3.24,4.24,4.26,4.05,3.76,2.8,2.8,2.72,2.64,4.557123027
61,Armenia,3.07,3.07,3.05,3.21,2.83,2.83,2.82,2.88,3.26,3.25,3.28,3.34,1.36,1.37,1.36,1.33,2.39,2.39,2.38,2.39,0.455523946
62,Japan,3.05,2.94,3.25,3.23,0.9,0.87,0.99,0.84,2.98,2.96,3.11,2.88,1.12,1.13,1.08,1.15,1.72,1.69,1.8,1.74,0.0
63,South Africa,3.04,3.19,2.69,3.29,1.73,1.82,1.62,1.42,2.84,2.84,2.84,2.8,3.0,3.04,2.94,2.86,2.11,2.05,2.2,2.29,2.7922668539999997
64,Turkey,3.02,3.0,3.09,3.02,1.63,1.7,1.47,1.49,2.56,2.52,2.68,2.63,1.5,1.52,1.47,1.49,2.6,2.6,2.62,2.58,0.0
65,Eritrea,3.02,3.05,2.69,3.87,2.73,2.71,2.91,2.17,2.55,2.54,2.66,2.22,4.34,4.37,4.11,4.68,3.76,3.78,3.56,3.78,
66,Sri Lanka,3.01,3.1,2.28,2.65,0.67,0.68,0.65,0.56,3.73,3.72,3.84,3.8,1.59,1.63,1.38,1.4,3.04,3.13,2.43,2.49,2.800819262
67,China,2.94,3.01,2.61,2.94,1.96,1.99,1.84,1.95,3.51,3.5,3.65,3.45,1.79,1.83,1.62,1.75,2.71,2.74,2.67,2.65,2.831202558
68,Ireland,2.92,3.38,1.82,1.0,1.18,1.26,1.0,0.9,2.21,2.23,2.15,2.15,0.84,0.86,0.8,0.77,1.84,1.87,1.79,1.75,0.0
69,United States of America,2.89,3.49,2.75,2.47,1.54,1.8,1.34,1.4,3.08,2.67,3.28,3.33,2.09,2.43,2.01,1.84,1.72,1.86,1.75,1.59,0.0
70,Estonia,2.75,1.34,3.03,2.74,1.53,1.88,1.37,1.53,1.06,1.29,0.84,1.07,2.13,1.87,2.12,2.13,1.15,1.1,1.2,1.15,0.325151996
71,Monaco,2.66,2.66,2.66,2.66,0.5,0.5,0.5,0.5,2.77,2.77,2.77,2.77,1.7,1.7,1.7,1.7,1.81,1.81,1.81,1.81,0.0
72,Macedonia,2.65,2.74,2.58,2.58,1.72,1.72,1.72,1.72,3.27,3.26,3.27,3.28,1.29,1.31,1.28,1.27,1.63,1.63,1.64,1.63,0.0
73,United Kingdom,2.63,2.69,2.7,2.54,1.34,1.74,1.4,1.21,3.4,3.46,3.49,3.29,1.02,1.1,1.03,1.0,1.67,1.56,1.68,1.68,0.0
74,Argentina,2.51,2.89,2.16,1.8,1.64,1.81,1.38,1.49,2.45,2.26,2.8,2.6,2.39,2.72,1.9,2.05,1.8,1.9,1.63,1.72,
75,Luxembourg,2.51,2.5,2.52,2.5,1.67,1.67,1.66,1.67,3.1,3.1,3.1,3.1,1.21,1.21,1.2,1.21,1.55,1.55,1.55,1.55,0.0
76,Nepal,2.4,2.4,2.49,2.55,1.18,1.18,1.19,1.16,4.49,4.49,4.47,4.55,0.98,0.97,1.01,0.92,4.09,4.09,4.11,4.11,3.146454538
77,Haiti,2.38,2.39,2.35,2.28,0.59,0.63,0.5,0.37,3.88,3.88,3.9,3.87,2.4,2.4,2.39,2.36,1.95,1.93,1.99,2.09,4.6457894589999995
78,Venezuela,2.3,1.83,2.63,2.08,1.28,1.38,1.22,1.23,2.73,2.7,2.76,2.68,2.71,2.44,2.91,2.58,2.27,2.31,2.24,2.27,
79,Ukraine,2.1,2.55,1.85,1.53,1.58,1.52,1.59,1.67,2.43,2.28,2.65,2.56,1.32,1.47,1.26,1.13,1.19,1.21,1.22,1.14,0.678135391
80,Malaysia,2.09,1.93,2.14,2.2,0.77,0.84,0.76,0.71,3.07,3.39,2.96,2.83,1.03,1.1,0.99,0.98,1.74,2.02,1.55,1.57,0.0
81,North Korea,2.06,2.07,1.86,2.19,1.17,1.06,1.15,1.68,2.99,3.03,3.1,2.66,1.27,1.27,1.26,1.25,3.76,3.78,3.78,3.65,0.522020425
82,Costa Rica,1.94,1.83,2.3,1.67,0.65,0.65,0.57,0.77,3.05,2.96,3.15,3.18,1.0,1.16,0.79,0.84,2.44,2.75,2.02,2.15,1.355292
83,Germany,1.9,1.62,1.74,1.93,1.9,1.9,1.89,1.9,2.88,2.72,2.91,2.88,1.1,1.13,1.09,1.09,0.77,0.8,0.79,0.76,0.0
84,Albania,1.9,1.71,2.12,1.97,1.07,1.09,1.06,1.05,2.73,2.71,2.76,2.73,1.24,1.23,1.23,1.26,2.41,2.4,2.4,2.45,1.989152618
85,Namibia,1.88,1.63,1.97,3.5,3.3,2.93,3.81,3.77,2.07,2.17,2.03,1.44,3.58,3.45,3.76,3.76,2.5,2.5,2.54,2.24,2.3940316409999998
86,Ecuador,1.86,1.9,1.69,1.39,2.64,2.7,2.4,2.06,3.23,3.24,3.19,3.11,2.93,2.97,2.8,2.37,2.84,2.87,2.69,2.42,2.337699747
87,Guyana,1.78,1.86,0.95,1.08,0.79,0.77,0.88,1.01,2.4,2.4,2.4,2.36,1.64,1.65,1.61,1.58,2.12,2.11,2.2,2.27,2.155824804
88,France,1.75,1.27,1.62,1.89,1.61,1.59,1.62,1.61,2.5,2.56,2.59,2.47,1.17,1.2,1.2,1.16,1.5,1.57,1.52,1.48,0.0
89,Netherlands,1.73,1.73,1.58,1.75,1.76,1.75,1.78,1.75,2.46,2.45,2.51,2.46,0.95,0.95,0.95,0.95,0.88,0.88,0.87,0.88,0.0
90,Thailand,1.7,1.73,1.4,1.49,1.04,1.04,1.01,1.0,3.68,3.68,3.71,3.6,0.96,0.96,0.92,0.94,3.45,3.46,3.39,3.36,1.789069204
91,Gabon,1.56,0.17,1.9,1.15,1.07,1.03,1.01,1.47,0.65,0.97,0.58,0.69,0.85,0.76,0.84,1.0,2.14,1.94,2.17,2.24,3.320969175
92,Angola,1.54,1.19,0.56,2.46,1.79,1.8,1.71,1.85,1.72,1.82,1.81,1.59,2.46,2.54,2.25,2.57,3.06,2.99,3.19,3.01,5.0
93,Georgia,1.51,1.62,1.32,1.46,2.1,2.17,2.01,2.06,3.6,3.66,3.53,3.55,1.14,1.17,1.11,1.13,1.86,1.89,1.79,1.87,0.5920172579999999
94,United Republic of Tanzania,1.5,1.64,0.82,2.61,1.43,1.46,1.36,1.02,3.12,3.18,2.92,2.68,2.71,2.76,2.53,2.63,3.17,3.18,3.09,3.38,5.0
95,El Salvador,1.49,1.74,1.34,1.22,1.0,0.98,1.02,1.03,3.75,3.77,3.73,3.76,1.53,1.54,1.53,1.51,3.53,3.53,3.52,3.51,3.312345152
96,Moldova,1.46,1.39,1.37,1.52,1.73,1.72,1.74,1.74,3.78,3.74,3.79,3.8,1.1,1.09,1.09,1.1,0.83,0.81,0.82,0.85,1.7478265869999998
97,Botswana,1.36,0.83,1.76,1.19,2.7,2.4,2.86,2.77,2.06,2.44,1.81,2.07,3.84,3.52,3.99,3.92,2.35,2.39,2.29,2.43,1.579921884
98,New Zealand,1.35,1.05,1.98,1.35,0.71,0.82,0.51,0.61,1.7,1.35,2.28,2.22,0.94,0.86,1.08,1.04,1.52,1.16,2.13,2.11,0.0
99,Belize,1.35,2.82,3.11,0.88,0.82,0.86,0.87,0.81,2.65,2.76,2.75,2.62,1.11,1.34,1.37,1.04,2.23,2.42,2.51,2.16,0.35845397100000004
100,Egypt,1.33,1.33,1.1,1.56,3.35,3.33,3.42,3.42,2.53,2.53,2.61,2.44,1.4,1.39,1.27,1.59,2.46,2.46,2.51,2.42,0.0
101,Poland,1.31,1.45,1.22,1.33,2.06,2.03,2.07,2.06,2.7,2.49,2.76,2.71,1.21,1.2,1.22,1.21,0.63,0.62,0.64,0.63,
102,Sweden,1.3,1.07,1.12,1.42,1.35,1.18,1.33,1.38,0.35,0.26,0.32,0.38,1.47,1.49,1.48,1.46,1.25,1.36,1.21,1.26,0.0
103,Kosovo,1.29,1.21,1.27,1.31,1.62,1.6,1.62,1.63,3.45,3.45,3.45,3.45,1.14,1.14,1.14,1.15,1.5,1.54,1.51,1.49,
104,Bulgaria,1.27,1.67,1.52,1.11,1.65,1.57,1.59,1.68,3.24,3.24,3.1,3.28,1.18,1.28,1.25,1.13,1.08,1.29,1.18,1.01,0.0
105,Madagascar,1.25,1.24,0.87,1.73,0.91,0.92,0.9,0.82,2.62,2.62,2.59,2.51,1.35,1.36,1.29,1.24,3.46,3.46,3.21,3.58,5.0
106,Russia,1.23,1.58,1.41,1.1,2.02,1.77,2.0,2.08,2.0,2.5,2.21,1.82,1.49,1.52,1.46,1.49,1.89,1.8,1.79,1.93,1.20337298
107,Canada,1.21,2.35,0.92,1.16,1.67,2.33,1.51,1.65,1.93,1.72,2.23,1.86,1.24,1.66,1.1,1.24,1.63,1.99,1.55,1.61,0.0
108,Lithuania,1.19,1.13,1.22,1.19,1.8,1.79,1.81,1.8,2.36,2.36,2.37,2.36,1.1,1.12,1.1,1.1,0.93,0.92,0.93,0.93,
