,Country,WS_MDG,WUE_SDG,WS_SDG,Temp,Rain,IRWR,ERWR,TRWR,Dep_ratio,HDI,r_u,r_u_access,pop_growth,mort_rate,GDP_pcp,life_ex
67,GTM,2.5987803925,18.3679141238,5.7420970807,24.332812876712328,2729.28455,109.2,18.71,127.91,0.14627472441560474,0.649,0.9731491471134759,0.8821138211382114,1.7,24.0,8064.2,73.4
69,HND,1.7436309188,11.9897935352,4.621268764,24.299259931506846,1830.1704,90.66,1.504,92.164,0.01631873616596502,0.621,0.7712669504624283,0.8603696098562628,1.7399999999999998,16.6,5306.2,74.4
71,HTI,10.3408928826,4.8938857936,13.3837917667,25.410604520547942,1319.8969124999999,13.007,1.015,14.022,0.07238625017829124,0.501,0.8400774622776068,0.7334360554699537,1.38,53.2,1761.0,62.4
72,HUN,4.3259615385,23.8802030073,7.7702936097,11.71457301369863,681.818525,6.0,98.0,104.0,0.9423076923076923,0.841,0.40721926677973763,1.0,-0.28,4.4,27417.0,76.0
73,IDN,11.0286322881,3.7451909947,29.6965452848,26.519829931506848,2823.8961,2018.7,0.0,2018.7,0.0,0.704,0.8295272414448633,0.8439490445859872,1.2600000000000002,23.2,10175.0,70.6
74,IND,33.884557015,2.8205828554,66.4920928322,24.65115,1071.02353,1446.0,464.9,1910.9,0.24328850279972786,0.643,1.9761980275457127,0.9536560247167868,1.1199999999999999,35.0,5479.6,68.6
75,IRL,1.4557692308,349.7670678397,3.6429258903,9.742291671232875,1207.75735,49.0,3.0,52.0,0.057692307692307696,0.939,0.5886371234054933,0.9989785495403473,0.8600000000000001,3.0,66637.4,81.4
76,IRN,67.8244372286,4.7738501906,81.2890812891,18.392765006849316,188.35735499999998,128.5,8.545,137.045,0.06235178226130104,0.799,0.3441956821995983,0.9426816786079836,1.3199999999999998,13.8,13420.6,75.8
77,IRQ,42.8867126641,4.7404929428,54.1264044944,22.76257552739726,167.883335,35.2,54.66,89.86,0.6082795459603828,0.684,0.42291797047899965,0.7473347547974414,3.2599999999999993,24.6,10789.0,69.8
78,ISL,0.1705882353,58.3389890583,0.394075282,2.689107712328767,1177.55945,170.0,0.0,170.0,0.0,0.935,0.06640501905062021,1.0,1.34,2.0,52212.0,82.4
79,ISR,67.3033707865,125.6368320973,103.3560521094,20.80593616438356,241.28718750000002,0.75,1.03,1.78,0.5786516853932584,0.904,0.08300091347947704,1.0,1.94,3.0,37873.6,82.2
81,JAM,12.4734362007,8.6475708689,12.4734362007,25.857328561643836,1596.101175,10.823,0.0,10.823,0.0,0.725,0.8057574587561429,0.916923076923077,0.5599999999999999,13.4,9496.2,74.0
